
  PID   |   AT    |    BT   |    CT   |    RT   |   TAT   |   WT    
----------------------------------------------------------------------
    1   |     2   |     8   |    10   |     0   |     8   |     0
    7   |     2   |     8   |    18   |     8   |    16   |     8
    8   |     2   |    12   |    30   |    16   |    28   |    16
   14   |     2   |    17   |    47   |    28   |    45   |    28
    5   |     3   |     5   |    52   |    44   |    49   |    44
   12   |     3   |    14   |    66   |    49   |    63   |    49
    6   |     6   |     6   |    72   |    60   |    66   |    60
   10   |     8   |    17   |    89   |    64   |    81   |    64
   16   |     8   |     7   |    96   |    81   |    88   |    81
   19   |     8   |    20   |   116   |    88   |   108   |    88
    3   |    10   |     5   |   121   |   106   |   111   |   106
   18   |    10   |    13   |   134   |   111   |   124   |   111
   11   |    12   |     5   |   139   |   122   |   127   |   122
   17   |    12   |    19   |   158   |   127   |   146   |   127
   13   |    13   |     3   |   161   |   145   |   148   |   145
    2   |    15   |     1   |   162   |   146   |   147   |   146
    9   |    16   |     3   |   165   |   146   |   149   |   146
   20   |    16   |    15   |   180   |   149   |   164   |   149
    4   |    19   |    19   |   199   |   161   |   180   |   161
   15   |    19   |    16   |   215   |   180   |   196   |   180
