
  PID   |   AT    |    BT   |    CT   |    RT   |   TAT   |   WT    
-----------------------------------------------------------------------
    5   |     3   |     5   |    27   |    19   |    24   |    19
    1   |     2   |     8   |    40   |     0   |    38   |    30
    7   |     2   |     8   |    58   |     5   |    56   |    48
    3   |    10   |     5   |    73   |    58   |    63   |    58
    6   |     6   |     6   |    79   |    26   |    73   |    67
   16   |     8   |     7   |    91   |    37   |    83   |    76
   11   |    12   |     5   |   101   |    84   |    89   |    84
    8   |     2   |    12   |   103   |    10   |   101   |    89
   12   |     3   |    14   |   117   |    24   |   114   |   100
   13   |    13   |     3   |   120   |   104   |   107   |   104
    2   |    15   |     1   |   131   |   115   |   116   |   115
    9   |    16   |     3   |   139   |   120   |   123   |   120
   14   |     2   |    17   |   146   |    15   |   144   |   127
   18   |    10   |    13   |   164   |    69   |   154   |   141
   10   |     8   |    17   |   166   |    32   |   158   |   141
   19   |     8   |    20   |   171   |    42   |   163   |   143
   20   |    16   |    15   |   196   |   123   |   180   |   165
   17   |    12   |    19   |   200   |    96   |   188   |   169
    4   |    19   |    19   |   214   |   132   |   195   |   176
   15   |    19   |    16   |   215   |   137   |   196   |   180
