
  PID   |   AT    |    BT   |    CT   |    RT   |   TAT   |   WT    
-----------------------------------------------------------------------
    5   |     3   |     5   |     8   |     0   |     5   |     0
    6   |     6   |     6   |    14   |     2   |     8   |     2
    3   |    10   |     5   |    19   |     4   |     9   |     4
   11   |    12   |     5   |    24   |     7   |    12   |     7
    1   |     2   |     8   |    31   |     0   |    29   |    21
   13   |    13   |     3   |    34   |    18   |    21   |    18
    2   |    15   |     1   |    35   |    19   |    20   |    19
    9   |    16   |     3   |    38   |    19   |    22   |    19
   16   |     8   |     7   |    45   |    30   |    37   |    30
    7   |     2   |     8   |    53   |    43   |    51   |    43
    8   |     2   |    12   |    65   |    51   |    63   |    51
   18   |    10   |    13   |    78   |    55   |    68   |    55
   12   |     3   |    14   |    92   |    75   |    89   |    75
   20   |    16   |    15   |   107   |    76   |    91   |    76
   15   |    19   |    16   |   123   |    88   |   104   |    88
   14   |     2   |    17   |   140   |   121   |   138   |   121
   10   |     8   |    17   |   157   |   132   |   149   |   132
   17   |    12   |    19   |   176   |   145   |   164   |   145
    4   |    19   |    19   |   195   |   157   |   176   |   157
   19   |     8   |    20   |   215   |   187   |   207   |   187
